Date,Open,High,Low,Close,Volume
12/13/2012,143.419998,143.830002,142.270004,142.630005,135715000
12/14/2012,142.320007,142.580002,141.880005,142.100006,137701700
12/17/2012,142.470001,143.850006,142.429993,143.770004,143238200
12/18/2012,144,145.5,143.789993,145.369995,177762800
12/19/2012,145.529999,145.580002,144.240005,144.289993,150895400
12/20/2012,144.380005,145.139999,143.979996,145.119995,168487000
12/21/2012,142.169998,144.089996,141.940002,142.789993,245883800
12/24/2012,142.479996,142.559998,142.190002,142.350006,53874600
12/26/2012,142.639999,142.710007,141.350006,141.75,106947700
12/27/2012,141.789993,142.080002,139.919998,141.559998,167920600
12/28/2012,140.639999,141.419998,139.869995,140.029999,148806700
12/31/2012,139.660004,142.559998,139.539993,142.410004,243935200
1/2/2013,145.110001,146.149994,144.729996,146.059998,192059000
1/3/2013,145.990005,146.369995,145.339996,145.729996,144761800
1/4/2013,145.970001,146.610001,145.669998,146.369995,116817700
1/7/2013,145.850006,146.110001,145.429993,145.970001,110002500
1/8/2013,145.710007,145.910004,144.979996,145.550003,121265100
1/9/2013,145.869995,146.320007,145.639999,145.919998,90745600
1/10/2013,146.729996,147.089996,145.970001,147.080002,130735400
1/11/2013,147.039993,147.149994,146.610001,147.070007,113917300
1/14/2013,146.889999,147.070007,146.429993,146.970001,89567200
1/15/2013,146.289993,147.210007,146.199997,147.070007,93172600
1/16/2013,146.770004,147.279999,146.610001,147.050003,104849500
1/17/2013,147.699997,148.419998,147.149994,148,133833500
1/18/2013,147.970001,148.490005,147.429993,148.330002,169906000
1/22/2013,148.330002,149.130005,147.979996,149.130005,111797300
1/23/2013,149.130005,149.5,148.860001,149.369995,104596100
1/24/2013,149.149994,150.139999,149.009995,149.410004,146426400
1/25/2013,149.880005,150.25,149.369995,150.25,147211600
1/28/2013,150.289993,150.330002,149.509995,150.070007,113357700
1/29/2013,149.770004,150.850006,149.669998,150.660004,105694400
1/30/2013,150.639999,150.940002,149.929993,150.070007,137447700
1/31/2013,149.889999,150.380005,149.600006,149.699997,108975800
2/1/2013,150.649994,151.419998,150.389999,151.240005,131173000
2/4/2013,150.320007,151.270004,149.429993,149.539993,159073600
2/5/2013,150.350006,151.479996,150.289993,151.050003,113912400
2/6/2013,150.520004,151.259995,150.410004,151.160004,138762800
2/7/2013,151.210007,151.350006,149.860001,150.960007,162490000
2/8/2013,151.220001,151.889999,151.220001,151.800003,103133700
2/11/2013,151.740005,151.899994,151.389999,151.770004,73775000
2/12/2013,151.779999,152.300003,151.610001,152.020004,65392700
2/13/2013,152.330002,152.610001,151.720001,152.149994,82322600
2/14/2013,151.690002,152.470001,151.520004,152.289993,80834300
2/15/2013,152.429993,152.589996,151.550003,152.110001,215226500
2/19/2013,152.369995,153.279999,152.160004,153.25,95105400
2/20/2013,153.139999,153.190002,151.259995,151.339996,160574800
2/21/2013,150.960007,151.419998,149.940002,150.419998,183257000
2/22/2013,151.149994,151.889999,150.490005,151.889999,106356600
2/25/2013,152.630005,152.860001,149,149,245824800
2/26/2013,149.720001,150.199997,148.729996,150.020004,186596200
2/27/2013,149.889999,152.330002,149.759995,151.910004,150781900
2/28/2013,151.899994,152.869995,151.410004,151.610001,126866000
3/1/2013,151.089996,152.339996,150.410004,152.110001,170634800
3/4/2013,151.759995,152.919998,151.520004,152.919998,99010200
3/5/2013,153.660004,154.699997,153.639999,154.289993,121431900
3/6/2013,154.839996,154.919998,154.160004,154.5,94469900
3/7/2013,154.699997,154.979996,154.520004,154.779999,86101400
3/8/2013,155.460007,155.649994,154.660004,155.440002,123477800
3/11/2013,155.320007,156.039993,155.130005,156.029999,83746800
3/12/2013,155.919998,156.100006,155.210007,155.679993,105755800
3/13/2013,155.759995,156.119995,155.229996,155.899994,92550900
3/14/2013,156.309998,156.800003,155.910004,156.729996,126329900
3/15/2013,155.850006,156.039993,155.309998,155.830002,138601100
3/18/2013,154.339996,155.639999,154.199997,154.970001,126704300
3/19/2013,155.300003,155.509995,153.589996,154.610001,167567300
3/20/2013,155.520004,155.949997,155.259995,155.690002,113759300
3/21/2013,154.759995,155.639999,154.100006,154.360001,128605000
3/22/2013,154.850006,155.600006,154.729996,155.600006,111163600
3/25/2013,156.009995,156.270004,154.350006,154.949997,151322300
3/26/2013,155.589996,156.229996,155.419998,156.190002,86856600
3/27/2013,155.259995,156.240005,155,156.190002,99950600
3/28/2013,156.089996,156.850006,155.75,156.669998,102932800
4/1/2013,156.589996,156.910004,155.669998,156.050003,99194100
4/2/2013,156.610001,157.210007,156.369995,156.820007,101504300
4/3/2013,156.910004,157.029999,154.820007,155.229996,154167400
4/4/2013,155.429993,156.169998,155.089996,155.860001,131885000
4/5/2013,153.949997,155.350006,153.770004,155.160004,159666000
4/8/2013,155.270004,156.220001,154.75,156.210007,86571200
4/9/2013,156.5,157.320007,155.979996,156.75,101922200
4/10/2013,157.169998,158.869995,157.130005,158.669998,135711100
4/11/2013,158.699997,159.710007,158.539993,159.190002,110142500
4/12/2013,158.679993,159.039993,157.919998,158.800003,116359900
4/15/2013,158,158.130005,155.100006,155.119995,217259000
4/16/2013,156.289993,157.490005,155.910004,157.410004,147507800
4/17/2013,156.289993,156.320007,154.279999,155.110001,226834800
4/18/2013,155.369995,155.410004,153.550003,154.139999,167583200
4/19/2013,154.5,155.550003,154.119995,155.479996,149687600
4/22/2013,155.779999,156.539993,154.75,156.169998,106553500
4/23/2013,156.949997,157.929993,156.169998,157.779999,166141300
4/24/2013,157.830002,158.300003,157.539993,157.880005,96781200
4/25/2013,158.339996,159.270004,158.100006,158.520004,131060600
4/26/2013,158.330002,158.600006,157.729996,158.240005,95918800
4/29/2013,158.669998,159.649994,158.419998,159.300003,88572800
4/30/2013,159.270004,159.720001,158.610001,159.679993,116010700
5/1/2013,159.330002,159.410004,158.100006,158.279999,138874200
5/2/2013,158.679993,159.889999,158.529999,159.75,96407600
5/3/2013,161.139999,161.880005,159.779999,161.369995,144202300
5/6/2013,161.490005,162.009995,161.419998,161.779999,66882100
5/7/2013,162.130005,162.649994,161.669998,162.600006,90359200
5/8/2013,162.419998,163.389999,162.330002,163.339996,97419200
5/9/2013,163.270004,163.699997,162.470001,162.880005,106738600
5/10/2013,162.990005,163.550003,162.509995,163.410004,103203000
5/13/2013,163.199997,163.809998,162.820007,163.539993,81843200
5/14/2013,163.669998,165.350006,163.669998,165.229996,119000900
5/15/2013,164.960007,166.449997,164.910004,166.119995,120718500
5/16/2013,165.779999,166.360001,165.089996,165.339996,109913600
5/17/2013,165.949997,167.039993,165.729996,166.940002,129801000
5/20/2013,166.779999,167.580002,166.610001,166.929993,85071200
5/21/2013,167.080002,167.800003,166.5,167.169998,95804200
5/22/2013,167.339996,169.070007,165.169998,165.929993,244031800
5/23/2013,164.160004,165.910004,163.940002,165.449997,211064400
5/24/2013,164.470001,165.380005,163.979996,165.309998,151573900
5/28/2013,167.039993,167.779999,165.809998,166.300003,143679800
5/29/2013,165.419998,165.800003,164.339996,165.220001,160363400
5/30/2013,165.350006,166.589996,165.220001,165.830002,107793800
5/31/2013,165.369995,166.309998,163.130005,163.449997,176850100
6/3/2013,163.830002,164.460007,162.660004,164.350006,168390700
6/4/2013,164.440002,165.100006,162.729996,163.559998,157631500
6/5/2013,163.089996,163.419998,161.130005,161.270004,211737800
6/6/2013,161.199997,162.740005,160.25,162.729996,200225500
6/7/2013,163.850006,164.949997,163.139999,164.800003,188337800
6/10/2013,165.309998,165.399994,164.369995,164.800003,105667100
6/11/2013,163.300003,164.539993,162.740005,163.100006,159505400
6/12/2013,164.220001,164.389999,161.600006,161.75,177361500
6/13/2013,161.660004,164.5,161.300003,164.210007,163587800
6/14/2013,164.029999,164.669998,162.910004,163.179993,141197500
6/17/2013,164.289993,165.220001,163.220001,164.440002,136295600
6/18/2013,164.529999,165.990005,164.520004,165.740005,114695600
6/19/2013,165.600006,165.889999,163.380005,163.449997,206149500
6/20/2013,161.860001,163.470001,158.979996,159.399994,321255900
6/21/2013,159.639999,159.759995,157.470001,159.070007,271956800
6/24/2013,157.410004,158.429993,155.729996,157.059998,222329000
6/25/2013,158.479996,160.100006,157.419998,158.570007,162262200
6/26/2013,159.869995,160.5,159.25,160.139999,134848000
